vhskala,glad,alder,aarsuddannelse,kvinde,barnhjemme,menneskeligforandring,religioes,godthelbred,klimafrygt
5,9,20,13,0,0,1,1,4,9
3,8,23,10,0,0,1,0,4,16
4,9,51,18,0,0,1,0,5,15
3,9,48,12,1,1,1,1,4,14
4,8,15,9,0,0,1,0,5,12
8,9,76,11,0,0,1,1,3,13
5,9,39,12,0,1,1,1,4,11
6,8,46,13,0,0,1,0,5,13
6,10,81,10,1,0,1,1,3,16
5,5,41,13,0,1,0,1,3,4
5,10,43,17,0,1,1,1,3,8
5,8,25,12,1,1,0,0,5,10
6,5,86,10,1,0,1,1,2,13
5,9,43,18,0,1,1,1,4,17
4,8,65,13,0,0,1,1,3,11
4,9,60,15,1,0,1,0,3,12
4,8,79,11,1,0,1,1,3,18
5,8,20,12,1,0,1,1,4,16
2,9,25,18,1,0,1,1,4,12
6,4,48,16,1,1,1,1,4,15
3,7,66,11,0,0,1,0,4,14
3,8,62,12,1,0,1,0,3,15
5,7,33,14,0,0,1,1,4,15
5,9,59,13,1,0,1,0,3,16
2,8,48,15,0,1,1,0,3,17
5,8,26,14,0,0,1,1,4,12
5,8,29,18,1,0,1,1,4,14
1,8,18,12,1,1,1,0,4,14
5,9,64,20,0,0,1,1,5,13
4,9,20,14,1,0,1,0,4,10
3,8,44,20,0,1,1,1,3,12
5,9,30,15,0,0,1,1,3,13
5,7,66,15,0,0,1,0,4,11
5,7,52,18,1,1,1,1,4,14
3,7,40,20,1,0,1,0,5,16
5,9,35,16,0,1,1,0,5,11
2,8,34,19,1,0,1,0,2,13
2,10,37,19,0,1,1,0,3,13
5,8,23,17,0,0,1,1,5,16
3,8,54,15,0,0,1,0,4,11
7,10,48,19,0,1,1,1,4,12
5,7,23,16,1,0,1,1,3,12
5,7,43,19,0,0,1,0,5,11
4,7,27,16,1,1,1,0,4,15
0,9,56,18,1,0,1,0,4,14
5,5,73,11,0,0,1,1,3,15
0,10,63,24,0,0,1,0,5,19
5,9,26,17,0,0,1,0,5,12
7,7,20,14,0,0,1,0,2,9
6,9,65,16,1,0,1,1,4,17
3,7,34,19,1,1,1,0,5,16
2,9,57,15,0,0,1,1,5,15
2,9,19,12,0,0,1,1,4,11
3,9,55,12,1,1,1,0,4,15
5,10,59,17,0,0,1,1,3,17
4,7,19,12,1,0,1,1,3,11
7,6,50,15,0,1,1,0,4,10
5,9,31,12,1,1,1,0,5,11
5,8,42,12,1,0,1,1,4,19
5,9,44,18,1,0,1,0,4,12
7,10,27,19,0,0,1,1,4,14
4,5,53,19,1,1,1,1,3,16
2,8,40,14,1,1,1,1,4,13
5,6,83,9,0,1,1,1,4,8
5,9,15,8,0,1,1,1,4,9
5,6,44,16,1,1,1,1,4,15
5,5,60,13,1,1,1,1,3,17
4,8,29,18,0,0,1,0,5,19
9,8,77,11,0,0,1,1,3,13
5,9,43,13,1,1,1,1,4,13
5,9,19,12,0,0,1,0,4,14
8,8,17,11,1,0,1,1,4,13
5,2,75,11,1,0,1,1,3,13
7,8,78,18,1,0,1,0,2,15
5,8,56,18,1,1,1,1,4,13
8,8,57,13,0,0,1,0,3,14
3,9,18,12,0,0,1,0,4,13
3,7,56,14,0,1,1,1,4,16
5,7,48,13,0,1,1,1,3,11
7,8,61,18,1,0,1,1,4,15
6,10,32,16,0,0,1,1,4,13
4,5,54,13,0,1,1,1,2,11
5,10,46,16,0,1,1,1,4,13
6,9,33,12,0,0,1,0,4,9
4,5,59,11,0,0,0,1,3,8
6,8,39,15,0,1,0,1,3,7
5,9,20,12,1,0,0,1,4,9
0,8,31,13,1,0,1,0,4,9
5,7,20,13,0,0,1,0,4,13
2,6,41,15,0,1,1,1,4,10
3,7,19,13,1,0,1,0,3,8
3,9,29,13,0,0,1,0,5,15
6,8,84,8,0,1,1,0,3,8
4,10,41,11,0,1,1,0,4,6
5,9,24,16,1,0,1,1,5,10
5,8,53,14,0,0,1,0,4,14
5,7,46,15,1,1,1,0,4,14
9,8,60,17,0,0,0,1,4,10
5,10,63,19,0,1,1,0,5,10
6,8,20,13,0,0,1,0,4,8
5,8,54,20,1,1,1,1,5,15
3,7,28,19,1,0,1,0,5,13
5,8,23,14,0,0,1,0,5,11
5,9,31,19,1,0,1,1,5,16
7,9,62,15,0,0,1,1,4,12
7,6,76,16,1,0,1,0,3,16
0,5,17,11,0,0,1,1,3,18
5,9,49,13,0,1,1,1,4,17
7,7,33,17,1,0,1,0,1,14
2,9,50,12,1,0,1,0,5,14
3,8,15,10,1,0,1,1,4,10
5,9,58,14,0,0,1,1,4,19
3,5,50,17,0,0,1,0,3,14
4,8,35,15,1,0,1,0,5,13
3,6,49,15,1,1,1,0,3,11
3,10,21,12,1,1,1,0,4,8
5,7,40,13,0,0,0,0,3,7
5,9,42,17,0,1,1,1,5,18
4,9,16,10,0,0,1,0,4,11
0,9,50,15,1,1,1,0,4,13
1,6,49,16,1,1,1,1,2,17
7,10,33,18,0,0,1,1,4,8
4,8,50,18,0,1,0,0,4,8
7,7,50,14,0,1,1,1,4,13
6,8,38,15,0,1,1,1,3,15
2,8,43,13,1,0,0,0,4,11
3,8,53,19,1,1,1,0,4,12
8,10,85,8,1,0,1,0,3,17
6,6,93,13,0,0,1,1,3,12
3,7,75,20,0,0,1,0,2,15
7,5,72,17,0,0,0,0,4,8
4,9,24,16,1,0,1,0,4,12
0,8,24,16,0,0,1,0,4,15
6,8,47,13,0,0,1,0,3,13
4,8,51,20,0,1,1,1,5,16
2,7,37,23,0,0,1,0,5,14
5,7,69,23,1,0,1,1,4,17
3,8,41,19,1,1,1,0,2,19
4,10,56,18,1,1,1,1,5,14
3,9,51,24,1,1,1,1,4,9
4,8,17,10,0,0,1,1,5,11
5,10,55,17,1,0,1,0,4,9
2,8,57,15,0,0,1,0,3,7
3,8,26,18,0,0,0,1,5,11
4,8,69,14,0,0,1,0,3,12
7,8,56,8,1,1,1,1,4,11
4,8,46,19,0,1,1,0,4,14
3,8,35,13,0,1,1,0,5,13
1,7,42,21,1,0,1,0,2,15
3,9,48,14,0,1,1,1,5,9
6,8,32,16,0,0,1,0,4,14
2,2,52,15,0,0,1,0,3,17
6,8,85,13,1,0,1,1,3,9
2,7,31,19,0,0,1,0,3,15
4,3,33,15,0,0,1,0,2,12
5,9,28,19,0,0,1,1,5,14
5,7,24,16,0,0,1,0,2,10
4,8,45,15,0,1,1,1,5,12
2,9,42,20,0,1,1,0,5,15
2,8,58,18,1,1,1,0,4,16
3,10,63,16,0,0,1,0,4,16
3,7,21,13,0,0,1,1,4,14
7,8,86,11,0,0,1,0,3,9
3,10,47,20,1,1,1,0,5,18
2,8,34,16,0,1,1,0,4,13
3,8,17,12,1,0,1,1,5,16
3,8,34,11,1,1,1,0,4,13
3,7,30,19,0,0,1,0,4,14
4,9,39,21,0,1,1,0,5,16
2,8,62,16,0,0,1,1,3,14
8,9,31,14,0,0,1,0,3,2
5,7,47,18,0,1,1,0,4,6
6,4,29,22,1,0,1,0,2,11
3,7,56,21,0,1,1,0,4,15
0,8,74,18,0,0,1,0,5,18
5,8,36,20,1,1,1,1,5,16
7,5,17,10,1,0,1,0,3,8
3,8,28,19,1,0,1,0,4,11
7,8,20,14,1,0,1,0,5,11
3,8,41,13,0,0,1,1,3,17
4,8,47,17,0,0,1,0,3,14
4,7,34,19,0,0,1,1,5,9
2,8,32,19,1,0,1,0,3,14
2,9,54,13,1,0,1,0,4,16
4,8,59,14,0,0,1,0,2,15
6,9,39,18,0,1,1,0,4,17
1,7,25,18,0,0,1,0,3,10
5,7,22,13,0,0,1,1,4,9
7,8,20,14,1,0,1,0,3,13
7,9,25,13,1,0,1,0,3,10
5,8,55,17,1,1,1,1,5,16
0,10,21,14,1,0,1,0,5,15
0,9,57,14,0,0,1,0,4,15
2,7,33,19,0,0,1,0,3,15
7,9,59,16,0,0,1,0,4,16
3,8,36,18,0,1,1,1,4,11
5,8,78,8,1,1,1,0,2,5
6,7,47,20,0,1,0,1,3,10
5,8,29,13,0,1,1,0,4,13
4,9,26,17,1,1,1,0,3,13
0,8,48,18,1,1,1,0,5,19
5,6,55,14,1,0,1,0,3,13
4,8,44,20,1,1,1,1,4,17
5,9,29,14,1,0,1,0,5,16
5,9,45,17,1,0,0,0,4,4
0,7,42,25,1,1,1,0,4,15
4,8,59,16,0,0,0,0,4,11
4,7,36,15,1,0,1,0,5,13
4,9,30,21,1,0,1,0,3,18
3,9,44,19,1,1,1,0,5,12
6,9,46,17,0,1,1,1,5,13
3,9,76,14,1,0,1,0,4,14
3,9,39,20,1,1,1,0,5,17
3,8,60,19,0,0,1,0,3,13
2,8,26,19,0,1,1,0,4,11
4,7,26,17,0,0,1,0,3,11
3,8,48,12,0,1,1,0,4,15
3,8,72,18,0,0,1,1,5,14
4,8,82,6,1,0,1,0,4,12
0,8,63,17,0,0,1,0,3,14
4,8,50,12,0,0,1,1,3,13
5,8,35,13,1,0,1,0,5,12
5,7,24,15,1,0,1,0,5,13
3,9,60,16,1,0,1,0,4,16
4,7,23,16,0,0,1,1,4,11
5,9,66,11,1,0,1,0,3,6
5,8,52,15,0,1,1,1,4,15
0,8,19,12,0,0,1,0,4,10
0,7,67,15,1,0,1,0,3,13
0,10,16,11,1,0,1,0,4,19
2,5,55,10,0,0,1,0,4,19
5,7,31,13,0,1,1,0,4,15
6,9,22,13,1,0,1,1,5,14
3,8,53,13,0,0,1,1,3,15
3,7,63,19,1,0,1,0,4,16
5,5,74,13,0,0,0,0,3,13
4,7,58,12,0,0,1,0,4,14
5,8,66,12,0,0,1,0,4,15
5,8,58,13,0,0,1,0,3,13
5,5,31,19,1,0,1,0,3,17
3,3,66,11,1,0,0,0,3,13
8,9,37,15,0,1,1,0,3,13
2,10,76,14,0,0,1,0,3,8
4,9,72,15,0,0,1,1,3,13
3,8,58,25,0,0,1,0,4,15
3,3,55,12,1,0,1,1,1,11
2,8,57,13,1,1,1,0,4,13
5,8,53,16,0,0,0,0,3,12
5,9,34,18,1,1,1,0,5,7
4,8,27,20,1,0,1,0,3,19
3,7,42,12,0,0,1,1,4,16
5,7,60,15,1,0,1,0,3,12
6,4,18,9,0,0,1,0,4,17
6,6,61,13,1,0,1,0,4,7
4,8,69,15,0,0,1,0,4,7
5,10,58,13,1,1,1,0,4,17
5,0,70,11,0,0,1,0,1,7
5,10,63,22,0,0,0,1,4,12
5,8,72,13,1,0,1,0,4,12
3,8,39,21,1,1,1,1,5,12
2,3,57,12,1,1,1,0,4,15
2,7,47,20,0,1,1,0,5,13
3,6,67,16,1,0,1,1,2,12
5,9,16,11,1,0,1,0,4,9
5,8,45,16,0,1,1,1,5,12
3,9,29,13,0,1,1,0,4,13
5,6,29,13,1,1,1,1,3,11
2,8,62,11,0,0,0,1,3,10
4,8,31,20,1,0,1,0,5,12
5,8,52,14,1,0,1,1,3,11
0,9,20,11,0,0,1,0,4,19
5,5,54,15,1,0,1,0,3,15
4,7,53,16,1,0,1,0,4,11
0,6,61,12,0,0,1,0,3,18
3,8,26,16,0,0,1,0,3,12
4,8,54,18,1,1,1,0,3,14
2,9,58,18,0,0,1,1,3,16
0,8,73,13,1,0,1,0,3,16
3,6,38,6,0,0,1,0,3,16
3,5,54,12,0,0,1,0,5,6
4,7,58,17,0,0,1,1,3,13
5,7,79,12,1,0,1,1,2,12
5,4,63,17,1,0,0,0,2,9
2,8,46,14,1,1,1,0,4,13
6,8,53,13,0,1,1,0,4,11
5,7,15,9,1,0,1,0,4,10
5,9,51,13,1,1,1,0,3,15
5,8,40,23,0,1,1,0,3,16
4,7,69,18,0,0,1,1,4,15
3,8,17,11,1,0,1,1,5,13
5,9,26,17,0,0,1,0,4,12
5,9,58,15,0,1,1,0,3,15
2,7,34,10,1,0,1,0,4,12
3,8,48,15,0,1,1,0,4,13
3,1,37,13,0,0,1,0,3,8
5,7,29,12,1,0,1,0,3,14
3,7,63,14,1,1,1,1,3,12
5,8,67,13,0,0,1,0,3,8
3,8,50,16,1,0,1,1,3,14
4,10,19,13,1,0,1,1,5,9
9,5,85,8,0,0,1,0,2,5
6,8,55,15,0,0,1,1,4,14
0,9,61,15,1,0,1,0,3,10
6,2,29,13,0,0,1,0,4,15
7,8,50,13,1,1,1,0,3,11
5,10,28,18,1,0,1,0,4,10
7,9,19,11,0,0,1,0,3,12
2,9,76,12,1,0,1,1,3,15
5,10,79,10,1,0,0,1,3,5
2,10,76,10,1,0,0,0,2,2
0,9,66,15,1,0,1,1,4,18
5,4,15,9,0,0,1,0,5,10
7,9,59,19,0,0,1,0,4,4
3,8,63,17,1,0,1,0,4,12
3,3,39,17,1,0,1,1,3,13
3,7,68,17,0,0,1,0,4,14
7,10,57,14,0,0,1,0,4,10
2,9,31,15,1,1,1,1,4,17
5,9,47,13,0,1,1,0,3,10
3,3,51,15,0,0,1,0,4,11
4,9,61,12,0,0,0,0,3,12
2,8,75,11,0,0,1,0,3,10
5,9,51,14,1,1,1,1,4,13
6,9,35,19,0,1,1,0,5,6
3,8,50,15,1,0,1,0,4,14
3,9,58,13,1,0,1,0,4,16
4,9,18,11,0,0,1,0,5,10
0,9,74,22,0,0,0,0,3,16
5,8,72,10,0,0,1,0,3,10
0,8,53,12,0,0,1,0,5,13
7,7,50,12,0,1,0,0,3,12
5,7,23,13,1,0,1,0,4,10
7,9,17,11,0,0,1,0,4,10
5,9,16,9,0,0,1,0,5,7
3,0,56,12,1,0,1,0,2,12
8,8,53,12,0,0,0,0,3,3
5,7,92,8,1,0,1,0,3,5
3,10,62,14,0,0,1,1,4,17
5,7,48,12,1,0,1,0,4,6
6,9,48,12,0,0,0,0,4,5
5,7,74,11,0,0,1,1,3,11
4,8,46,12,1,1,1,0,4,9
1,9,28,13,0,0,0,0,5,16
5,7,58,12,0,0,1,0,4,14
4,7,77,17,0,0,1,1,4,13
5,5,55,12,0,0,1,0,1,13
3,7,78,10,0,0,1,0,3,9
2,6,60,17,0,0,1,0,4,17
4,6,59,15,1,0,1,1,3,9
3,8,79,11,0,0,1,1,4,7
5,7,40,17,0,1,1,0,3,13
7,9,19,12,0,0,1,1,4,15
5,8,78,13,0,0,1,1,4,11
5,7,38,18,0,1,1,0,4,17
2,9,20,12,0,0,0,1,3,17
7,9,76,13,0,0,0,0,4,8
5,8,55,15,1,0,1,0,4,15
5,9,19,12,0,1,1,0,4,9
5,6,33,17,0,1,1,1,4,8
7,9,43,18,0,1,1,0,3,15
0,5,77,12,0,0,1,0,3,19
5,6,39,12,1,1,0,1,3,12
5,9,50,17,1,0,1,1,2,16
3,8,24,17,0,0,1,0,3,14
4,7,66,13,1,0,1,0,3,12
3,9,21,14,0,0,1,0,4,18
4,9,29,13,0,0,1,0,5,17
3,9,59,15,0,0,1,0,4,13
4,8,63,12,0,0,1,0,5,9
3,8,77,10,1,0,1,1,4,13
3,7,48,17,0,1,0,0,4,8
7,9,50,18,1,1,1,1,4,13
3,7,71,16,1,0,1,1,5,18
5,8,63,16,1,0,1,0,4,13
5,10,17,12,1,0,1,0,5,7
1,8,29,13,1,1,1,0,4,14
5,9,18,11,0,0,1,1,5,15
0,7,53,14,0,0,1,0,3,15
5,9,36,13,0,1,1,0,5,12
5,8,78,11,1,0,1,0,2,12
5,9,82,14,0,0,1,1,4,10
5,9,34,18,1,1,1,0,5,12
3,5,23,15,0,0,1,0,3,15
3,9,39,16,1,1,1,0,4,15
3,7,43,14,0,0,1,1,4,15
7,7,27,19,0,0,1,0,5,17
6,8,30,17,0,0,1,0,3,14
3,9,22,14,0,0,1,0,4,10
3,9,35,26,1,0,1,1,2,16
4,10,46,16,1,0,1,0,5,16
4,8,27,19,1,0,1,0,4,15
3,9,61,15,1,0,1,0,4,13
5,8,76,15,0,0,0,1,3,6
2,8,26,16,0,0,1,0,4,16
0,8,53,18,0,1,1,0,4,13
3,9,26,19,1,0,1,0,2,15
3,9,19,13,1,0,1,0,5,14
5,8,73,11,1,0,1,0,4,9
5,6,19,13,0,0,1,0,3,9
5,7,48,12,1,1,1,0,4,18
5,5,52,12,0,1,1,0,4,7
5,9,37,16,0,1,1,0,5,11
4,8,65,17,0,0,1,0,4,13
2,9,27,14,0,0,1,1,5,10
5,10,62,12,0,0,1,0,4,18
4,10,62,13,1,0,1,0,5,11
2,8,66,17,0,0,1,1,4,15
2,8,69,17,1,0,1,0,3,13
5,8,45,13,1,1,1,0,4,12
5,10,60,13,0,0,1,0,2,9
4,6,37,15,0,0,1,1,3,12
1,8,48,18,0,1,1,1,4,19
6,5,21,14,0,0,1,1,4,12
5,5,16,10,1,0,1,1,4,9
7,8,23,15,0,0,1,0,3,12
5,8,46,18,1,0,1,0,3,16
5,8,60,12,0,0,1,0,4,13
0,10,83,10,0,0,1,0,2,12
4,10,35,16,1,1,1,0,4,15
0,6,76,10,1,1,0,1,3,12
6,8,46,13,0,1,0,0,5,14
2,4,50,12,0,0,1,0,2,14
4,9,66,17,1,0,1,0,3,15
6,9,23,15,1,0,1,0,3,7
5,9,71,12,0,0,1,0,3,5
1,1,51,10,0,0,0,0,2,5
5,7,36,13,0,1,1,0,4,15
4,8,76,10,1,0,0,1,3,12
4,10,66,15,1,0,0,0,1,15
5,8,68,16,1,0,1,0,4,14
2,7,36,19,1,0,1,0,3,12
8,8,72,22,0,0,1,1,4,15
4,7,57,14,1,1,1,0,4,11
6,8,79,12,0,0,0,0,3,10
5,9,22,14,1,0,1,0,4,15
5,5,54,13,0,0,1,0,2,10
10,10,41,9,0,0,1,1,2,5
3,10,68,12,0,0,1,0,4,7
9,10,57,13,0,0,1,0,4,15
0,10,65,9,1,0,1,0,2,10
8,9,63,14,0,0,1,0,3,12
4,8,34,15,0,1,1,1,4,11
5,8,20,13,1,0,1,0,3,11
5,8,24,15,1,0,1,0,5,7
5,4,43,14,1,1,1,0,4,15
3,5,84,8,0,0,1,0,3,8
0,8,68,17,0,0,1,0,2,15
3,5,52,11,0,0,1,1,3,10
3,8,64,11,1,0,1,0,3,14
3,10,38,13,0,1,1,0,3,16
5,8,35,19,0,0,1,0,5,19
4,7,45,18,1,1,1,0,3,15
5,7,65,13,1,0,1,0,1,18
4,6,25,17,1,0,1,0,4,13
2,8,82,13,1,0,1,0,4,12
5,9,53,12,1,0,1,1,4,12
3,8,17,11,1,0,1,0,4,11
8,9,67,14,1,0,1,0,3,15
5,8,71,13,1,0,1,0,1,12
3,8,47,16,1,1,1,0,4,17
2,5,57,9,0,1,0,0,5,17
3,4,31,15,0,0,0,0,5,15
3,8,67,13,1,0,1,0,4,14
3,8,72,18,0,0,1,0,4,18
3,8,53,13,0,0,1,0,4,14
6,7,19,13,0,1,1,0,3,10
5,5,44,13,1,0,1,0,3,16
5,9,55,15,1,0,1,0,5,16
6,9,31,14,0,1,1,0,5,15
5,5,68,12,1,0,1,0,4,10
5,8,59,14,1,0,1,0,3,17
5,10,52,13,1,0,0,0,3,6
0,10,16,9,1,0,1,1,5,17
8,8,80,11,1,0,1,1,4,14
10,10,36,20,0,0,0,1,5,10
8,5,56,19,0,0,1,0,4,9
3,7,20,12,0,0,1,0,3,13
3,8,23,15,1,0,1,0,5,15
0,10,36,12,1,1,1,0,4,15
3,7,33,17,0,0,1,0,4,15
0,7,27,19,1,0,1,0,5,18
3,7,24,16,0,0,1,1,5,12
4,9,64,16,0,0,1,1,4,15
5,10,51,15,1,0,1,0,5,17
7,7,59,14,1,0,1,0,2,17
7,9,55,12,1,0,1,0,4,10
3,3,55,14,0,0,1,0,3,15
3,7,48,12,0,0,1,0,4,13
3,7,59,14,1,0,1,0,4,15
5,7,86,8,1,0,0,0,3,2
5,10,78,10,1,0,1,1,3,10
5,9,39,16,0,0,1,0,4,15
5,7,76,18,0,0,1,1,4,15
7,8,65,22,0,0,1,0,5,13
6,8,49,10,0,0,1,0,4,13
0,10,54,20,1,0,1,0,4,18
5,9,52,10,1,0,1,0,4,15
5,8,51,13,1,0,1,0,3,15
5,8,17,10,1,0,1,1,5,14
1,7,60,24,0,0,1,0,5,10
3,3,66,10,1,0,1,0,1,6
5,7,28,17,1,1,0,0,4,9
6,5,64,16,0,0,0,1,3,3
5,5,62,12,0,0,1,1,3,9
4,7,61,12,1,0,1,0,3,7
10,8,56,12,0,1,1,0,3,9
5,7,21,14,1,0,1,0,3,12
5,8,61,13,1,0,1,1,3,14
0,8,19,12,1,0,1,0,4,18
5,8,42,13,1,1,1,1,5,11
5,5,49,12,0,0,0,0,3,7
5,10,78,11,0,0,1,0,4,16
5,8,19,13,0,0,1,0,2,9
4,10,60,11,1,0,0,0,5,6
3,6,34,14,0,1,1,0,4,13
8,8,25,14,0,0,1,0,3,13
2,9,49,16,1,1,1,0,4,14
2,10,40,17,1,1,1,0,4,15
6,7,37,16,0,1,1,0,5,14
4,9,18,12,0,0,0,0,4,10
5,7,69,18,0,0,1,0,4,10
10,5,28,15,0,0,1,0,3,7
4,8,48,13,0,1,1,0,5,12
3,8,40,19,0,0,1,0,3,7
2,8,26,17,1,0,1,0,2,16
3,5,54,9,0,0,1,0,4,17
5,7,52,12,0,0,1,0,3,5
5,10,75,11,0,0,1,0,3,18
3,10,40,16,1,1,1,0,4,17
5,7,64,19,0,0,1,1,4,15
9,8,52,11,0,0,1,0,4,7
7,8,23,16,0,0,1,1,3,13
1,7,44,12,1,0,1,0,2,13
2,9,29,23,1,0,1,1,4,11
6,8,22,17,1,1,1,1,4,8
3,8,38,21,0,1,1,0,5,12
7,8,70,10,0,0,1,0,4,9
3,8,72,24,0,0,1,0,4,19
6,7,50,20,1,1,1,1,4,13
5,10,55,17,1,0,1,1,3,15
2,8,51,12,1,0,1,0,5,17
0,7,58,15,1,0,1,0,3,14
5,8,38,15,0,1,1,1,3,13
5,8,79,22,0,0,0,1,3,15
2,7,40,13,1,1,1,0,4,13
6,8,38,19,0,0,1,1,4,14
3,9,43,14,0,1,0,1,4,12
6,8,22,14,1,0,1,1,3,14
5,10,69,8,1,0,1,1,3,12
5,8,38,13,1,1,1,1,4,12
5,4,64,11,0,0,1,0,3,9
5,9,35,17,0,1,1,1,4,11
3,10,40,13,1,1,1,1,4,14
5,3,43,17,1,1,1,1,5,10
3,7,17,12,1,0,1,0,3,14
8,4,46,13,0,1,1,0,2,13
7,7,43,13,0,1,1,0,3,12
5,9,67,12,1,0,1,0,4,15
5,7,35,19,1,1,1,1,2,18
2,10,46,17,1,1,1,1,5,16
5,10,45,13,1,0,1,0,3,14
5,5,64,13,1,0,1,0,3,11
5,8,22,16,1,0,1,0,5,10
5,9,54,12,1,0,1,0,3,10
3,8,24,17,0,0,1,1,5,12
3,7,29,20,1,1,1,1,4,14
5,8,54,13,1,0,1,0,2,11
5,8,17,11,0,0,1,1,3,13
7,5,62,14,1,0,1,0,3,10
0,8,62,15,1,0,1,0,5,18
2,8,22,17,1,0,1,1,4,12
3,5,28,18,1,0,1,0,4,18
1,9,24,16,1,0,1,1,3,14
5,6,52,18,0,0,1,0,3,15
5,9,34,17,0,1,1,0,3,17
5,8,54,13,0,1,1,0,4,16
6,9,69,13,0,0,1,1,4,13
5,8,47,14,0,1,1,0,4,12
4,7,26,19,1,0,1,1,4,15
5,9,17,10,0,0,0,1,5,14
4,9,33,18,0,1,1,0,5,14
6,9,55,13,1,0,1,0,4,12
5,8,56,13,0,0,1,0,5,10
3,8,17,11,0,0,1,1,4,13
5,7,29,12,1,1,1,1,5,14
6,8,72,16,0,0,1,1,3,12
4,8,18,12,0,0,1,0,4,15
3,8,50,13,1,1,1,0,3,13
3,8,47,16,0,0,1,0,4,13
10,7,87,18,1,0,1,0,4,12
2,9,77,12,0,0,1,1,4,8
0,5,66,14,0,0,1,0,4,15
5,8,56,13,0,0,1,0,4,17
4,8,66,14,0,0,0,0,5,11
2,8,49,13,1,1,1,0,4,15
3,8,59,15,0,0,1,0,4,11
5,8,55,17,0,0,1,0,4,15
1,10,71,20,0,0,1,1,3,17
5,9,25,15,0,0,1,0,4,15
0,10,19,12,1,0,1,1,5,16
5,9,16,9,1,0,1,0,4,14
3,7,37,19,0,1,1,0,4,17
5,10,70,5,0,0,1,1,4,12
8,6,57,5,0,0,1,0,3,18
4,10,34,17,1,1,1,1,4,16
0,10,16,11,1,0,1,0,4,16
6,8,55,12,0,1,1,0,4,14
7,8,43,14,0,1,1,0,3,16
6,9,15,9,1,0,0,0,5,4
2,9,21,12,1,0,1,1,4,14
5,10,74,12,1,0,1,1,4,18
4,8,24,16,1,0,1,0,3,10
4,7,47,23,1,1,1,1,4,16
4,8,25,13,0,0,1,0,4,11
5,8,55,12,0,1,1,1,3,12
5,9,25,19,0,0,1,0,5,14
7,9,34,19,0,0,1,1,4,14
0,8,56,13,0,0,1,1,4,11
7,8,47,15,0,1,1,1,4,12
6,9,21,14,0,0,1,1,4,14
6,6,15,10,1,0,1,1,4,16
1,8,37,14,0,0,1,0,4,15
6,8,40,17,0,0,1,1,3,15
5,7,53,12,0,0,1,0,2,10
8,9,30,18,0,1,1,0,4,14
5,7,76,11,1,0,1,0,3,17
5,7,61,12,1,0,1,1,3,11
2,8,54,16,0,0,1,0,2,13
5,9,73,10,1,0,1,0,5,17
4,8,25,12,0,0,1,0,5,12
0,8,53,13,1,0,1,0,5,18
2,5,69,9,1,0,1,0,4,14
9,8,68,12,1,0,1,1,4,16
5,6,45,13,1,1,1,0,5,12
3,8,44,24,0,1,1,1,4,12
5,5,78,8,1,0,1,1,5,3
5,9,34,13,0,1,1,0,5,14
4,8,38,16,1,1,1,1,5,14
5,7,51,19,1,0,1,0,4,14
4,9,19,12,0,0,1,1,4,7
4,8,54,17,1,0,1,1,4,17
7,8,68,10,1,0,1,0,4,13
3,10,33,13,1,0,1,1,5,13
3,7,21,14,0,0,1,0,4,16
5,5,59,13,1,1,1,0,3,9
5,7,47,13,1,1,1,0,2,17
2,9,22,15,1,0,1,1,5,14
5,8,25,18,1,0,1,0,4,14
5,9,21,14,0,0,0,1,5,9
4,8,59,13,0,1,1,1,4,18
6,7,73,14,0,1,1,1,3,14
2,9,66,14,1,0,1,0,5,12
5,8,43,13,0,1,1,0,3,8
6,5,29,15,1,1,1,0,4,10
3,8,74,12,1,0,1,1,3,10
4,9,23,16,0,0,1,0,5,14
0,9,58,16,1,0,1,0,3,19
4,9,67,13,1,0,1,0,4,15
5,7,17,12,1,0,1,1,4,14
2,5,19,13,1,0,1,1,4,14
5,10,61,9,0,0,0,1,3,12
8,8,65,11,0,0,1,0,3,13
4,6,35,15,1,0,1,0,2,12
2,9,48,15,0,1,1,0,4,17
7,9,46,11,0,0,1,0,3,10
5,8,72,15,1,0,1,0,2,13
2,5,76,11,0,0,1,0,2,10
3,9,17,10,1,0,0,0,4,16
2,8,41,19,0,0,1,1,4,14
3,0,60,20,0,0,1,0,4,15
5,8,51,11,0,1,1,0,3,12
5,8,23,17,0,0,1,1,5,14
8,9,43,16,0,1,1,0,5,18
6,8,52,14,1,0,1,0,4,13
5,6,18,12,1,0,1,1,3,14
3,9,24,17,0,1,0,0,4,10
6,8,22,14,0,1,1,1,5,13
4,8,69,11,0,0,1,0,4,16
2,3,20,13,0,0,1,0,4,14
6,9,48,15,0,0,1,1,4,15
8,6,38,21,1,1,1,1,4,7
6,8,66,11,1,0,1,1,3,14
3,3,31,21,1,0,1,0,2,9
3,8,16,10,1,0,1,1,4,15
4,4,31,15,0,0,1,0,4,7
4,6,60,12,0,0,1,1,2,15
7,7,42,15,0,0,1,0,4,8
4,10,64,13,1,0,1,1,5,19
1,6,75,13,0,0,0,0,3,6
5,7,19,14,1,1,1,0,3,15
2,8,58,11,0,0,1,0,2,15
2,8,39,14,0,1,1,1,3,15
5,5,31,11,1,0,1,1,3,11
8,10,61,14,0,0,0,0,3,12
5,8,64,12,0,0,1,0,2,15
2,9,33,15,0,1,0,0,4,8
5,10,22,14,0,0,1,0,5,7
